instruction,output
임금 및 퇴직금 소멸시효 기산일,"임금의 경우

사용자는 근로자가 사망 또는 퇴직한 경우에는 「근로기준법」 제36조의 규정에 따라 그 지급사유가 발생한 때부터 14일 이내에 임금, 보상금, 그 밖에 일체의 금품을 지급하여야 하며, 특별한 사정이 있을 경우에는 당사자 사이의 합의에 의하여 기일을 연장할 수 있습니다.

임금채권의 소멸시효는 임금 정기지급일이 기산일이 되며, 같은 법 제49조에 의하여 3년간 행사하지 않으면 시효로 인하여 소멸합니다.


퇴직금의 경우

사용자는 근로자가 퇴직한 경우에는 「근로자퇴직급여 보장법」 제9조의 규정에 따라그 지급사유가 발생한 날부터 14일이내에 퇴직금을 지급하여야 하며, 특별한 사정이 있는 경우에는 당사자 간의 합의에 의하여 지급기일을 연장할 수 있습니다.

퇴직금채권의 소멸시효는 퇴직한 날의 다음날(퇴직의 효력이 발생한 날)부터 기산되며, 같은 법 제10조의 규정에 의하여 3년간 행사하지 아니하는 때에는 시효로 인하여 소멸합니다."
상여금 지급기준,"상여금에 대하여는 근로기준법에 별도로 정한바가 없으므로, 귀하가 상여금을 지급받을 수 있는 지에 대하여는 당해 회사의 단체협약, 취업규칙, 관행 등을 종합적으로 검토하여 판단하여야 할 것임."
"식대, 교통비의 평균임금 포함 여부","평균임금이란 이를 산정하여야 할 사유가 발생한 날 이전 3개월 동안에 그 근로자에게 지급된 임금의 총액을 그 기간의 총일수로 나눈 금액을 의미합니다(「근로기준법」 제2조 제1항 제6호).

-평균임금 산정의 기초가 되는 임금총액에는 사용자가 근로의 대상으로 근로자에게 지급하는 일체의 금품으로서, 근로자에게 계속적·정기적으로 지급되고 그 지급에 관하여 단체협약, 취업규칙 등에 의하여 사용자에게 지급의무가 지워져 있으면, 그 명칭 여하를 불문하고 모두 포함됩니다.
소정근로시간에 근무한 근로자에 대하여 식비 교통비를 계속적·정기적으로 지급하기로 취업규칙이나 단체협약 등으로 정하였다면 달리 볼 사정이 없는 한 근로에 대한 대가인 임금에 해당될 것으로 사료됩니다.

-또한, 해당 식비 교통비를 소정근로를 제공한 모든 근로자에게 실제 근무일수에 따라 정기적으로 지급한다면 통상임금에도 해당될 것입니다."
"수습, 실습기간이 퇴직금 계산 기간에 포함되는가","실습생의 지위에 있을지라도 회사와 실습생 사이에 맺어진 채용내용, 작업의 성질과 내용 및 보수의 유무 등을 종합적으로 고려하여 그 근로관계가 사용종속성이 인정되는 경우에는 근로기준법의 규정에 의한 근로자에 해당되어 동기간도 계속 근로년수에 포함됩니다.
또한, 정식채용 후에 근로자의 직업능력의 양성·교육 및 직무 오리엔테이션을 목적으로 설정되는 기간인 수습기간도 계속 근로년수에 포함됩니다."
퇴직월의 임금에 대한 평균임금 산정방법,"실습생의 지위에 있을지라도 회사와 실습생 사이에 맺어진 채용내용, 작업의 성질과 내용 및 보수의 유무 등을 종합적으로 고려하여 그 근로관계가 사용종속성이 인정되는 경우에는 근로기준법의 규정에 의한 근로자에 해당되어 동기간도 계속 근로년수에 포함됩니다. - 또한 정식채용 후에 근로자의 직업능력의 양성·교육 및 직무 오리엔테이션을 목적으로 설정되는 기간인 수습기간도 계속 근로년수에 포함됩니다."
근로계약 반복체결 시 계속근로 인정여부,"퇴직금제도는 근로계약의 형태 및 고용계약기간의 반복여부와 상관없이 계속 근로년수가 1년 이상이 되는 경우 계속 근로년수 1년에 대하여 30일분 이상의 평균임금을 퇴직금으로 지급하여야 하며, 다만 4주간을 평균하여 1주간의 소정근로시간이 15시간 미만인 근로자에 대해서는 퇴직금이 발생되지 않습니다."
진정서 처리기간,"근로감독관집무규정에 의거 진정은 접수한 날로부터 25일이나, 부득이한 사유가 있을 경우 상기 처리기간의 범위내에서 1회에 한하여 연장가능

고소 ·고발·범죄인지사건은 접수 또는 범죄인지일로부터 2월임"
퇴직금 중간정산 기준,"○ 「근로자퇴직급여 보장법」은 원칙적으로 퇴직금 중간정산을 금지하고 있으며, 동법 시행령 제3조(퇴직금의 중간정산 사유)에 해당되는 경우에 한해서만 가능하도록 규정하고 있습니다.

※ 근로자퇴직급여 보장법 시행령 제3조(퇴직금의 중간정산 사유)
1. 무주택자인 근로자가 본인 명의로 주택을 구입하는 경우
2. 무주택자인 근로자가 주거를 목적으로 「민법」 제303조에 따른 전세금 또는 「주택임대차보호법」 제3조의2에 따른 보증금을 부담하는 경우. 이 경우 근로자가 하나의 사업 또는 사업장(이하 ""사업""이라 한다)에 근로하는 동안 1회로 한정한다.
3. 근로자, 근로자의 배우자 또는 「소득세법」 제50조제1항에 따른 근로자 또는 근로자의 배우자와 생계를 같이하는 부양가족이 질병 또는 부상으로 6개월 이상 요양을 하는 경우
4. 퇴직금 중간정산을 신청하는 날부터 역산하여 5년 이내에 근로자가 「채무자 회생 및 파산에 관한 법률」에 따라 파산선고를 받은 경우
5. 퇴직금 중간정산을 신청하는 날부터 역산하여 5년 이내에 근로자가 「채무자 회생 및 파산에 관한 법률」에 따라 개인회생절차개시 결정을 받은 경우
6. 「고용보험법 시행령」 제28조제1항제1호부터 제3호까지의 규정에 따른 임금피크제를 실시하여 임금이 줄어드는 경우
7. 그 밖에 천재지변 등으로 피해를 입는 등 고용노동부장관이 정하여 고시하는 사유와 요건에 해당하는 경우

- 위의 시행령 제3조제1항 각호의 명시된 사항에 대해서만 중간정산이 가능하며, 실시횟수나 단위기간에 대한 구체적인 시행기준은 관련 규정에 의거 당사자 또는 노사간 합의하에 별도 마련하여 시행하는 것이 바람직함을 알려드립니다."
상여금의 통상임금 포함 여부,"어떠한 임금이 통상임금에 속하는지 여부는 그 임금이 소정근로의 대가로서 근로자에게 지급되는 금품으로서 정기적·일률적·고정적으로 지급되는 것인지를 기준으로 개관적인 성질에 따라 판단하여야 합니다.
- 정기상여금이 매월 지급되지 않고 1개월을 초과하는 기간( 2 개월, 3 개월, 6개월, 1 년 등 ) 으로 지급되더라도 정기적으로 지급되면 정기성을 갖춘 것이므로 통상임금이 될 수 있을 것입니다."
근로계약서 작성요령,"근로계약서에는 임금의 구성항목, 지급방법, 계산방법과 소정근로시간, 휴일, 휴가 등 주요 근로조건은 반드시 명시해야 하며, 작성에 어려움이 있는 경우 고용노동부에서 제공하는 ""표준근로계약서""를 활용할 수 있음(고용노동부 누리집 게재)"
연·월차 유급휴가미사용수당 청구권의 기산일 및 시효,"근로기준법제60조에 의거 '사용자는 1년간 80펴센트 이상 출근한 근로자에게 15일의 유급휴가를 부여하여야 하며, 계속하여 근로한 기간이 1년미만 근로자 또는 1년간 80퍼센트 미만 출근한 근로자에게 1개월 개근 시 1일의 유급휴가를 주어야 함. 또한, 사용자는 3년 이상 계속하여 근로한 근로자에는 최초 1년을 초과하는 계속 근로년수 매2년에 대하여 1일을 가산한 유급휴가를 주어야 하며 그 한도는 25일임'

근로기준법60조에 의해 발생한 연차유급휴가를 1년간 사용하지 않은 근로자의 경우 연차유급휴가미사용수당 청구권은 연차유급휴가사용청구권이 소멸된 다음날에 발생하며, 연차유급휴가미사용수당 청구권의 소멸시효는 연차유급휴가사용청구권이 소멸한 다음날로부터 3년임"
퇴직의 효력발생일,"퇴직에 관해서는 근로기준법에서 별도로 규정하고 있지 않으므로 민법이 적용되고, 기간의 약정이 없는 경우 근로자는 자유로이 근로계약을 해지할 수 있는 것이나
그 해지의 효력발생일은 사용자의 승낙이 있어야 발생하므로 근로자가 해지(퇴직)의 의사표시를 행한 경우 사용자가 이를 수리한 날이 됨.

다만 당사자 간에 계약종료시기에 관한 특약(단체협약, 취업규칙, 근로계약 등)이 있다면 그 시기에 계약해지의 효력이 발생할 것임."
사업장 부도발생시 해고예고수당 적용여부,"천재사변에 준하는 정도의 돌발적이고 불가항력적인 경우로 예측이 불가능한 사업장 부도로 인한 폐업의 경우에는 근로기준법 제26조제2호 사유(천재·사변, 그 밖의 부득이한 사유로 사업을 계속하는 것이 불가능한 경우)에 해당되어 해고예고수당 지급의무는 없다 할 것임."
병가 기간에도 임금을 받을 수 있는가,"1. 근로기준법 제2조제5호의 규정에 의거 임금이라 함은 사용자가 「근로의 대상」으
로 근로자에게 임금, 봉급, 기타 어떠한 명칭으로든지 지급하는 일체의 금품을 말합
니다.

- 즉, 임금은 사용자로부터 노무제공에 따른 반대급부로 지급 받는 것입니다

2. 따라서 근로자의 개인적인 사유에 의하여 휴직한 기간(병가기간)에 대하여는 근로
의 제공이 없었던 것이므로 사용자의 임금지급의무는 발생되지 아니 합니다.

- 다만, 노사관계자간에 단체협약, 취업규칙 등으로 근로를 제공하지 아니한 병가기
간에 대하여도 임금상당액의 금품을 지급하기로 정하였다면 그에 따라야 할 것입니다"
보상휴가제도,"사용자가 근로자 대표와의 서면합의에 의하여 연장·야간 및 휴일근로에 대하여 지급되는 임금에 갈음하여 휴가를 부여할 수 있도록 한 제도로서, 이는 근로자와 사용자의 임금과 휴가에 대한 선택의 폭을 확대하기 위한 것임."
공무상 질병시 평균임금 산정방법,"업무상 재해가 발생되어 요양기간 종료 후 업무에 복귀함이 없이 바로 퇴직의
효력이 발생된 경우에는 근로기준법 시행령 제5조의 제1항 내지 제3항의 규정에 의거 업무상 부상을 당하거나 질병에 걸린 근로자의 평균임금을 조정하도록 하고 있으며, 같은법 시행령 제5조제4항의 규정에 의거 퇴직금을 산정함에 있어서 적용할 평균임금은 위와 같이 조정된 평균임금으로 하여야 합니다. 또한, 이러한 평균임금과 퇴직시점의 통상임금을 비교하여 높은 금액을 평균임금으로 하여야 할 것으로 사료됩니다."
유급휴가 대체절차,근로기준법 제62조에 의하면 사용자는 근로자대표와 서면합의에 의하여 제60조의 규정 에 의한 연차유급휴가일에 갈음하여 특정근로 일에 근로자를 휴무시킬 수 있다 고 규정하고 있으므로 근로자대표와의 서면합의가 필요함
임시직 근로자의 퇴직금 적용여부,"퇴직금 제도는 4대보험가입여부, 근로계약서 체결여부와 관련 없이 임시직이라 하더라도 4주간 평균하여 1주간 소정근로시간이 15시간 이상이고, 계속근로기간이 1년 이상이면 30일분이상의 평균임금을 퇴직금을 지급받을 수 있습니다.(단, 2010.12.1.이전은 상시 근로자수 5인이상 사업장에 한함, 2010.12.1.이후부터는 상시 근로자수 1명 이상 사업장도 적용됨)"
근로자파견 가능업무 및 대상업무 외 파견이 불가능한가,"상시근로자파견이 가능한 업무는 전문지식·기술 또는 경험을 필요로 하는 32개 업무로서 최장 2년까지 파견할 수 있습니다.

다만, 32개 업무와 파견금지 대상업무(건설공사 현장에서의 업무, 항만·철도 등의 하역업무, 선원업무, 유해·위험업무 등)를 제외한 일시적, 간헐적인 업무 등을 최장 6월까지 파견이 가능합니다."
탄력적 근로시간제 충족요건,"2주단위 탄력적근로시간제가 적법, 유효하기 위해서는 다음 사항을 모두 충족하여
야 함.

- 2주간 이내의 일정한 단위기간을 평균하여 1주간의 근로시간이 40시간을 초과하지 않는 범위에서 특정한 주에 40시간의 근로시간을, 특정한 날에 8시간의 근로시간을 초과하여 근로하게 할 수 있으나, 특정주의 근로시간의 합계가 48시간을 넘지 않아야 합니다.

- 근로자대표와의 합의에 따라 대상 근로자의 범위, 단위기간(3개월 이내의 일정한 기간), 단위기간의 근로일과 그 근로일별 근로시간 그리고 유효기간을 정하여 서면으로 명시해야 합니다.

- 다만, 15세 이상 18세 미만의 근로자와 임신 중인 여성 근로자에 대하여는 적용하지 않고, 기존의 임금 수준이 낮아지지 아니하도록 임금보전방안을 강구하여야 합니다."
휴직기간의 평균임금 산정방법,"근로기준법 제2조제1항제5호에 규정에 의거 “임금”이라 함은 사용자가 근로의
대상으로 근로자에게 임금, 봉급, 기타 어떠한 명칭으로든지 지급하는 일체의 금품
을 말하고, 같은법 제2조제1항제6호의 규정에 의거 평균임금은 이를 산정하여야 할
사유가 발생한 날 이전 3월간에 그 근로자에 대하여 지급된 임금총액을 그 기간의
총일수로 나눈금액을 말합니다.

※평균임금(일급)
= [산정사유발생일이전 3월간의 임금총액] / [위 3개월간의 역일수(총 날짜수)]

- 이와 같이 산출된 평균임금이 당해 근로자의 통상임금보다 저액일 경우에는 그 통
상임금액을 평균임금으로 하도록 하고 있습니다."
산재근로자 해고가능 여부,"근로자가 업무상 부상 또는 질병의 요양을 위하여 요양중에 있는 때에는 사용자는 당해 근로자를 해고하지 못함. 다만 사용자가 근로기준법 제84조에 규정된 일시보상을 하였을 경우 또는 사업을 계속할 수 없게 된 경우에는 그러하지 아니함.
* 산업재해보상보험법 제80제4항에 따라, 요양급여를 받는 근로자가 요양을 시작한 후 3년이 지난 날 이후에 상병보상연금을 지급받고 있으면, 근로기준법 제23조제2항 단서 적용 시 그 사용자는 그 3년이 지난 날 이후에는 같은 법 제84조에 따른 일시보상을 지급한 것으로 봄."
여성근로자의 시간외 근로 제한,"2001. 11. 1 시행된 개정근로기준법에서는 여성의 시간외근로제한을 완화하여 임산
부를 제외한 여성근로자는 남성과 같이 1주일에 12시간이내에서 시간외근로를 할 수
있음.

다만 산후1년이 경과하지 않은 여성근로자의 시간외근로는 1일에 2시간, 1주일에 6
시간, 1년에 150시간이내에만 허용되고, 임신중인 여성근로자의 시간외근로는 원칙적
으로 금지됩니다."
해외근무수당의 평균임금 포함여부,"임금이란 사용자가 근로의 대가로 근로자에게 임금, 봉급,
그밖에 어떠한 명칭으로든지 지급하는 모든 금품을 말합니다.
질문상의 해외근무수당이 근로자가 해외근무라는 특수한 근무환경에서 직무를 수행하게 됨에 따라 추가로 소요되는 비용을 변상하기 위하여 지급하는 실비 변상적인 금품이라면 평균임금산정 기초가 되는 「근로기준법」상 임금으로 보기는 어려울 것으로 사료됩니다."
퇴직자의 임금인상 소급적용 여부,"임금교섭결과 타결된 임금인상율은 재직중인 근로자에 대하여만 효력이 있음.

따라서 임금협약 등에 특약이 없는 한 임금교섭 타결 이전에 퇴직한 근로자에게는
인상된 임금이 적용되지 아니함."
근무시간 중 노조활동 가능 범위,"「노동조합 및 노동관계조정법」에서는 정당한 노동조합의 활동에 대해 명시적인 규정을 두고 있지 아니하나, 노동조합 활동이 정당하기 위해서는 그 목적이 근로조건의 유지·개선 및 근로자의 경제적·사회적 향상을 도모하기 위해 필요한 행위이어야 하고, 단체협약·취업규칙 등에 별도의 허용규정이 있거나 관행, 사용자 승인이 있는 경우외에는 근무시간 이외에 행해져야 하며, 사업장내에서는 사용자의 시설관리권에 바탕을 둔 합리적인 규율이나 제약에 따라야 할 것입니다."
노사협의회 의결사항,"근로자참여및협력증진에관한법률 제21조에 의한 의결사항중 근로자의 교육훈련 및 능
력개발 기본계획 의 범위는 사용자가 행하는 직업훈련, 교양교육, 기타 근로자의 능력
개발을 위한 일체의 교육훈련으로 연간 교육훈련시간, 주요 교육훈련내용 등 기본계
획 이며, 구체적인 실시계획까지는 포함되지는 않음. 따라서 매년 통상적으로 시행하
고 있는 연수계획 역시 위와 같은 기본적 사항에 관하여는 노사협의회의 의결을 거쳐
야 할 것으로 생각됩니다."
노조위원장의 임기와 정년의 적용,"현행 노동관계법에서는 정년에 관한 규정을 두고 있지 아니하므로 단체협약, 취업규칙 등에 정해진 바에 따라야 할 것인바, 귀 질의의 경우 취업규칙에서 정한 근로자의 정년이 1년이 남아 있다면 단체협약 등에 별도의 규정이 없는 한 정년이 3년 미만인 조합원이 임기 3년의 노조 임원에 선출되었다 하더라도 정년에 도달하면 임기와 관계없이 조합원 자격이 상실되는 것이며, 「노동조합 및 노동관계조정법」 제23조제1항의 규정에 의해 조합원이 아닌 자는 노동조합의 임원이 될 수 없는 것입니다."
노사협의회 협의사항,"근로자참여및협력증진에관한법률 제20조에 의한 협의사항은 노사공동이익의 증진을 위
하여 노사협의회에서 협의해야 할 사항으로서 노사일방 또는 쌍방이 협의안건을 제시
함으로써 협의회의 협의의제로 다루어지게 되는 것이므로 각 협의사항의 구체적인 범
위는 일반적인 원칙·기준 등을 중심으로 노사가 자율적으로 결정할 사항입니다 따라
서 개별근로자 채용과 같은 개별사안에 대하여 사용자가 반드시 노사협의회의 사전 협
의를 거쳐야 할 의무를 지는 것은 아닙니다."
노사협의회 의장,"노사협의회 의장은 근로자참여및협력증진에관한법률 제7조의 규정에 따라 위원중에서 호선합니다, 이 경우 근로자위원과 사용자위원 중 각 1인을 공동의장으로 할 수 있으며, 노사협의회 규정에 의장 선출 절차 및 방법에 관한 사항이 정하여져 있을 경우에는 그에 따르되, 정함이 없을 경우 노사간 자율적으로 절차 및 방법(예컨대 다득표 순 등)을 정하여 의장을 선출하여도 무방할 것으로 생각됩니다."
"권리분쟁, 이익분쟁의 구분","권리분쟁이라 함은 법령,단체협약,취업규칙 등에 의하여 확정된 권리에 관한
노사간 해석·적용·준수 등을 둘러싼 분쟁으로, 체불임금 청산, 해고자 복직, 단체협
약 이행, 부당노동행위 구제 등이 이에 해당된다.
이익분쟁이라 함은 근로조건의 기준
에 관한 권리의 형성·유지·변경 등을 둘러싼 분쟁으로, 임금인상이나 단협 갱신·체
결 등이 이에 해당하는 바, 「노동조합 및 노동관계조정법」에서 정한 노동쟁의는 이
익분쟁만을 한정하므로 권리분쟁에 관한 사항을 관철하기 위한 쟁의행위는 정당성을
인정될 수 없습니다."
"노사협의회 구성, 운영",노사협의회는 노동조합과는 그 설립취지를 달리하여 노동조합 유무·복수노조 여부에 관계없이 근로자수가 30인 이상인 경우에는 이를 설치·운영하는 것이므로 기왕에 노사협 의회가 설치·운영되었다면 사무직 노조의 설립과 관계없이 기존 노사협의회를 그대로 활용하면 될 것입니다
산재보험처리 이외의 보상요구여부,"근로자가 사업장에서 업무수행과 관련하여 부상, 질병, 신체장해 또는 사망 기
타 업무상의 재해를 당하였다면 산업재해보상보험법에 따라 일정한 보상(요양급
여, 휴업급여, 장해급여, 유족급여, 장례비 등)을 받을 수 있습니다.

산재보험급여는 근로자가 업무상의 사유로 재해를 당한 경우 사업주의 고의, 과
실여부에 관계없이 보헙급여를 지급하나, 만약 그 재해가 사업자의 고의 또는 과실
에 의한 경우에는 산재보험급여 수령여부와 관계없이 민사상 불법행위로 인한 손해배
상책임을 물어 손해배상액을 청구할 수 있습니다.

이와 관련하여 산업재해보상보험법 제80조에서는 수급권자가 동일한 사유에 대
하여 이 법에 의한 보험급여를 받은 경우에는 보험가입자는 그 금액의 한도 안에
서 민법 기타 법령에 의한 손해배상책임이 면제됨을 규정하고 있으므로, 동일한 업
무상 재해에 대하여 민법 기타 법령에 의한 상당한 금품을 받은 때에는 그 한도 내
에서 근로복지공단은 산업재해보험급여를 지급하지 아니합니다.

또한, 근로자가 업무상 재해로 인하여 산업재해보상금을 받았거나 받을 수 있
는 경우에는 보험가입자인 사업자는 동일한 사유에 대하여 근로기준법에 의한 재해
보상책임이 면제되고, 산재법상의 보험급여를 먼저 받은 경우에는 그 범위 내에서
손해배상책임이 면제되게 됩니다."
사업주의 산재처리 거부 시 대처,"사업주가 산재처리에 협조를 해주지 않거나 기피할 경우에는 현실적으로 산재신청을 하기가 쉽지가 않은 바, 이러한 경우에 대비하여 현행 법령에서는 사업주의 확인이 없더라도 산재신청을 하여 산재보상을 받을 수 있는 제도를 마련해놓고 있습니다.

산재보험법 시행규칙 제20조에서 보험가입자(사업주) 확인 없이 요양급여 신청이 이루어진 경우 보험가입자 의견 청취 등의 절차를 거쳐 요양급여신청을 처리하도록 하고 있으므로 사업장 관할 근로복지공단 지사에 요양신청서를 제출하시면, 근로복지공단에서 재해조사 등을 통하여 업무상의 재해 여부를 판정하게 됨을 알려드립니다."
산업안전보건교육 자료,"근로자 안전보건교육 자료는 한국산업안전보건공단 홈페이지에서 다양한 업종별, 직종별, 작업별 교육자료를 제공하고 있으며, 우리 사업장에 맞는 교재를 선정하여 교육을 실시할 수 있음. 이렇게 자체적으로 실시한 후 교육일지를 작성하여 보존하면 됨

※ 교육일지는 안전보건공단 홈페이지에서 '교육일지'로 검색하여 다운로드 받을 수 있음"
행사중 사고의 업무상 재해 인정요건,"행사중의 재해와 관련해서는 대법원은 다수의 판례에서 행사나 모임의 주최자, 목적, 내용, 참가인원과 그 강제성 여부, 운영방법, 비용부담 등의 사정에 비추어, 사회통념상 그 행사나 모임의 전반적인 과정이 사용자의 지배나 관리를 받는 상태에 있었는 지, 근로자가 그와 같은 행사나 모임의 순리적인 경로를 벗어나지 않은 상태에 있는지를 종합적으로 고려하여 업무상 재해 여부를 판단"
출퇴근 재해의 업무상 여부,"근로자가 사업장을 벗어나 출퇴근중에 있는 경우에는 통근방법과 그 경로
의 선택이 그 근로자에게 유보되어 있어 통상 사업주의 지배관리하에 있다고 볼
수 없으므로 원칙적으로 출퇴근중에 발생한 재해는 업무상의 재해로 인정되지 아니
합니다.

다만, 사업주가 근로자에게 차량 등의 교통수단을 제공하여 근로자로 하여금 출
·퇴근시 이를 이용하게 하고, 그 교통수단에 대한 관리·이용권이 사상(死傷)한
근로자에게 전담되어 있지 아니한 경우에는 예외적으로 이를 업무상의 재해로 인정
하고 있습니다."
산재치료 중 진료비 일부 부담여부,"산재보험에 있어서의 “요양”이란 근로자가 업무상의 사유로 부상을 당하거나 질병에 걸린 경우 근로복지공단 소속병원, 종합전문요양기관 또는 근로복지공단이 지정한 의료시설에서 치료를 받는 것을 말하며 요양은 근로복지공단에서 필요하다고 인정한 기간에 한하여 실시할 수 있습니다. ○ 요양급여의 범위 및 요양에 소요된 비용의 산정기준은 원칙적으로 「국민건강보험요양급여의 기준에 관한 규칙」과 「국민건강보험법」의 규정에 의하여 보건복지부장관이 고시하는 요양급여비용의 내역에 따르되, 산재근로자의 보호를 위하여 필요하다고 판단하여 고용노동부장관이 고시하는 「산업재해보상보험 요양급여산정기준」에서 추가로 인정하고 있습니다. 

따라서, 업무상 부상 또는 질병의 치료목적이 아닌 진료, 국민건강보험 비급여, 산재보험 요양급여 산정기준에서 정하지 않은 진료비 등은 「산업재해보상보험법」에 따른 보험급여를 지급받을 수 없습니다. ○ 아울러, 산재요양종결 후 “합병증 등 예방관리제”에 해당되지 않는 산재 후유증상을 개인적으로 치료하는 경우 산재보험 급여 대상에는 해당하지 않으나, - 국민건강보험법상 요양급여를 적용받을 수 있으니 참고하시기 바랍니다.(건강보험 요양급여 공단부담분에 대해 산재요양 종결 후 2년간은 산재보험에서 보전)"
뇌출혈로 쓰러졌을 때 업무상 재해 인정여부,"‘뇌출혈’이 업무상의 재해로 인정되기 위해서는 발병전 정신적·육체
적인 과로, 급격한 작업환경의 변화 등 상병을 유발할 만한 업무상의 사유가 있었
음을 입증할 필요가 있으며, 만일 이를 입증하지 못하거나 고혈압, 고지혈증, 당
뇨 등 기초질환의 자연적인 경과로 인하여 발병된 것으로 확인될 경우에는 업무상
의 재해로 인정되지 않습니다."
업무상 질병의 입증책임,"우리나라의 업무상 질병의 법제방식은 위 기준에 열거된 질병에 해당될 경
우에는 근로자는 당해 질병의 업무기인성의 입증을 면하게 하고, 열거되지 아니한
질병의 경우에는 업무기인성을 입증한 때에 한하여 업무상 질병을 인정하는 방식
을 채택하고 있는 바, 이 방식은 근로자의 입증부담을 경감시키며 새로운 직업병
발생에도 신속하게 대처하고 그 범위를 넓게 파악할 수 있는 장점이 있습니다.

그러나, 근로자의 경우 증거자료의 수집능력 부족, 질병원인 규명의 어려움 등
으로 인하여 업무와 상병간의 인과관계를 명백히 입증하기 어려운 점이 있으므로,
자료를 확보할 수 있는데까지 확보하여 근로복지공단에 요양신청서를 제출하시면,
근로복지공단에서 사실관계 확인, 의학적 소견 조회, 역학조사 등 재해조사를 통하
여 업무상 질병에의 해당 여부를 판정하게 됨을 알려드립니다."
보험급여 지급에 대한 이의신청방법,"근로복지공단의 보험급여에 관한 결정(요양불승인처분, 유족급여부지급처분, 장해
등급부지급처분 등)에 이의가 있을 때에는 그 결정처분이 있음을 안 날로부터 90일 이
내에 그 처분을 행한 근로복지공단의 소속기관을 경유하여 산업재해보상보험심사위원
회에 심사청구를 제기하거나 관할 행정법원에 행정소송을 제기할 수 있습니다.

이 경우 위의 기간은 불변기간으로서 그 기간내에 이의를 제기하지 아니할 때에는
그 처분은 확정되어 더 이상 다툴 수 없으므로 기간도과로 인하여 불이익을 받는 일
이 없도록 유의해야 합니다."
산재보험료 산정시 반납된 상여금을 임금총액에 포함하는가,"근로자가 임금을 전액수령한 후 그중 일부를 다시 사용자에게 반납하는 경우나 임
금지급 기일전 또는 후에 기왕의 임금(단체협약, 취업규칙, 근로계약 등으로 정해진
임금)중 일부를 반납(포기 등)한다는 의사표시를 하고 실제 임금의 일부를 공제하고
수령하는 경우 등 이미 발생된 임금채권을 개별근로자의 자유의사에 의하여 반납하는
경우라도 이는 산재보험료 산정기초 보수총액에 포함하여야 합니다.

또한 단체협약 및 취업규칙 등의 변경없이 반납된 임금, 상여금 등은 재해 보상에
있어서도 산재근로자의 평균임금 산정시 포함하여야 합니다."
직장생활의 3원칙을 알려줘.,"직장생활 3원칙을 알려드리겠습니다.
1. 상대방의 입장을 존중한다.
2. 약속은 반드시 지킨다.
3. 항상 능률을 생각한다."
직장인으로서의 마음가짐을 알려줘.,"직장인으로서의 마음가짐을 알려드리겠습니다.

1. 좋은 서비스 : 직장인으로서 책임 의식을 가지고 고객에게 좋은 서비스와 편의를 제공하도록 합시다.

2. 투철한 사명감 : 맡은 바 임무에 최선을 다하고 업무 수행을 위해 폭 넓은 지식을 습득하도록 합시다.

3. 직장인의 대표자 : 자신이 회사를 대표한다는 자부심과 긍지를 가지고, 공과 사를 구분하여 업무 처리를 합시다.

4. 친절의 생활화 : 밝은 표정과 명랑한 음성으로 상대방에게 호감을 주도록 하며, 바른 마음에서 바른 행동이 나온다는 것을 명심합시다.

5. 산뜻하고 맵시있게 : 세련된 용모, 복장, 매너로 고객을 편하게 대합시다."
유능한 직장인이 되기 위해서 어떻게 해야해?,"유능한 직장인이 되기 위해서 어떻게 해야 하는지 알려드리겠습니다.

1. 유능한 직장인이 되기 위해서는 첫 인상이 중요합니다. 회사 식구들에게 좋은 첫 인상을 남길 수 있도록 노력합시다.

2. 용모를 단정히 합시다. 바른 마음가짐에서 바른 행동이 나옵니다.

3. 적당히 시간을 때우려는 생각은 버립시다.

4. 지시 사항을 정확히 파악하여 일을 처리합시다. 의문이 생긴다면 그 자리에서 제 때 질문하는 것이 중요합니다.

5. 결과 보고는 정확하게 합시다."
직장인이 지켜야 할 기본 매너들에 대해서 알려줘.,"직장인이 가져야 할 기본 매너는 아래와 같습니다.
인사예절, 근무예절, 근무자세, 보행자세, 의자에 앉는 자세, 옷차림과 몸가짐, 소개매너, 접대매너, 악수매너, 명함매너, 승강기 탑승 매너, 호칭, 전화매너 등이 있습니다."
직장인의 인사예절에 대해서 알려줘.,"인사를 할 때는 우선, 상대방 앞에 서서 상대방의 눈을 봅니다.
등을 펴고 허리에서 직선으로 정중하게 머리를 숙입니다.
여자는 손을 오른손의 엄지를 왼손의 엄지와 검지 사이에 끼워 하복부에 가볍게 댑니다.
숙일 때보다 조금 느린 속도로 몸을 일으켜 다시 상대방의 눈을 봅니다.
발은 항상 뒷꿈치끼리 맞대고 앞부분이 30도의 각도를 이루도록 합니다.
인사는 먼저 보는 사람이 먼저 하도록 합니다.

인사의 종류에는 다음과 같은 것들이 있습니다.
1. 정중한 인사 (45도~90도) : 극히 높은 분이나 의식 등에서 하는 인사나, 사과를 할 때 사용됩니다.
2. 보통인사 (30도) : 일상 생활에서 가장 많이 행해지는 인사로, 보통 윗사람이나 고객을 맞이할 때와 보낼 때 사용됩니다.
3. 가벼운 인사 (15도) : 동료 또는 하루에 두 번 이상 만나는 사람, 또는 아랫사람에게 사용됩니다.
4. 목례 (5도) : 자주 대할 때나, 복도 실내 등에서 사용됩니다. 가볍게 머리를 숙이고 눈으로 예를 표하며 부드러운 표정을 짓습니다."
